BULTEN_TARIHI,MAL_TIPI,S_NO,MAL_ADI,BIRIM,ASGARI_FIYAT,AZAMI_UCRET,ORTALAMA_UCRET
01/01/2025,SEBZE,3.0,BİBER  KIL ACI,KG,40,105.0,72.5
01/01/2025,SEBZE,5.0,BİBER ÇARLİSTON,KG,30,80.0,55.0
01/01/2025,SEBZE,7.0,BİBER KÖY(MAZO),KG,25,90.0,57.5
01/01/2025,SEBZE,9.0,BROKOLI,KG,25,40.0,32.5
01/01/2025,SEBZE,11.0,DOMATES  BEEF,KG,15,45.0,30.0
01/01/2025,SEBZE,13.0,DOMATES CHERRY,KG,30,70.0,50.0
01/01/2025,SEBZE,15.0,DOMATES (KOKTEYL),KG,35,75.0,55.0
01/01/2025,SEBZE,17.0,DOMATES SALKIM  (İYİ TARIM),KG,30,85.0,57.5
01/01/2025,SEBZE,19.0,FASULYE   CALI,KG,45,90.0,67.5
01/01/2025,SEBZE,21.0,HAVUÇ BEYPAZARI,KG,8,25.0,16.5
01/01/2025,SEBZE,23.0,KABAK  BAL,KG,15,30.0,22.5
01/01/2025,SEBZE,25.0,KARNABAHAR,KG,25,55.0,40.0
01/01/2025,SEBZE,27.0,KAVUN  SERA,KG,20,35.0,27.5
01/01/2025,SEBZE,29.0,KAVUN KIRKAĞAÇ,KG,15,30.0,22.5
01/01/2025,SEBZE,31.0,LAHANA  BEYAZ,KG,10,30.0,20.0
01/01/2025,SEBZE,33.0,LAHANA  KIRMIZI,KG,25,60.0,42.5
01/01/2025,SEBZE,35.0,MANTAR (İSTİRİDYE),KG,65,170.0,117.5
01/01/2025,SEBZE,37.0,MARUL AYSBERG,ADET,12,45.0,28.5
01/01/2025,SEBZE,39.0,MARUL LOLOROSSO,ADET,10,40.0,25.0
01/01/2025,SEBZE,41.0,PATATES  CALMA,KG,10,25.0,17.5
01/01/2025,SEBZE,43.0,PATATES TAZE,KG,10,35.0,22.5
01/01/2025,SEBZE,45.0,PATLICAN TOPAN,KG,35,80.0,57.5
01/01/2025,SEBZE,47.0,PIRASA,KG,10,35.0,22.5
01/01/2025,SEBZE,49.0,SALATALIK  SİLOR,KG,25,55.0,40.0
01/01/2025,SEBZE,51.0,SARIMSAK  KURU,KG,60,200.0,130.0
01/01/2025,SEBZE,53.0,SOĞAN   KIRMIZI,KG,17,50.0,33.5
01/01/2025,SEBZE,55.0,SOĞAN   TAZE,KG,35,80.0,57.5
01/01/2025,SEBZE,57.0,TURP  KIRMIZI,KG,15,25.0,20.0
01/01/2025,SEBZE,59.0,Y.DEREOTU,BAĞ,3,8.0,5.5
01/01/2025,SEBZE,61.0,Y.MAYDONOZ,BAĞ,3,6.0,4.5
